timeStamp,elapsed,responseCode,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1559320158987,280,200,true,1592,116,10,10,279,0,141
1559320158991,286,200,true,1614,116,10,10,286,0,148
1559320159041,314,200,true,1592,116,10,10,313,0,170
1559320159066,294,200,true,1614,116,10,10,294,0,158
1559320159155,263,200,true,1613,116,10,10,262,0,130
1559320159189,261,200,true,1597,116,10,10,261,0,120
1559320159207,252,200,true,1592,116,10,10,252,0,123
1559320159209,273,200,true,1597,116,10,10,272,0,144
1559320159228,283,200,true,1613,116,10,10,281,0,141
1559320159267,253,200,true,1592,116,10,10,253,0,128
1559320159246,275,200,true,1592,116,10,10,275,0,146
1559320159278,270,200,true,1608,116,10,10,270,0,134
1559320159356,258,200,true,1592,116,10,10,258,0,133
1559320159361,274,200,true,1614,116,10,10,273,0,143
1559320159419,270,200,true,1592,116,10,10,270,0,137
1559320159450,256,200,true,1592,116,10,10,254,0,126
1559320159460,259,200,true,1613,116,10,10,259,0,127
1559320159482,255,200,true,1592,116,10,10,255,0,126
1559320159512,254,200,true,1592,116,10,10,254,0,125
1559320159521,272,200,true,1608,116,10,10,271,0,138
1559320159521,273,200,true,1597,116,10,10,272,0,139
1559320159549,250,200,true,1597,116,10,10,250,0,126
1559320159615,244,200,true,1592,116,10,10,244,0,120
1559320159636,258,200,true,1608,116,10,10,257,0,128
1559320159689,269,200,true,1608,116,10,10,269,0,133
1559320159706,254,200,true,1592,116,10,10,254,0,118
1559320159720,249,200,true,1608,116,10,10,249,0,124
1559320159738,262,200,true,1592,116,10,10,262,0,128
1559320159767,268,200,true,1597,116,10,10,268,0,133
1559320159793,256,200,true,1597,116,10,10,256,0,121
1559320159794,269,200,true,1592,116,10,10,269,0,131
1559320159799,272,200,true,1614,116,10,10,272,0,134
1559320159859,280,200,true,1592,116,10,10,280,0,130
1559320159895,341,200,true,1592,116,10,10,341,0,121
1559320159959,353,200,true,1592,116,10,10,353,0,154
1559320159969,347,200,true,1608,116,10,10,347,0,144
1559320159961,365,200,true,1597,116,10,10,364,0,156
1559320160001,373,200,true,1608,116,10,10,371,0,204
1559320160035,368,200,true,1608,116,10,10,368,0,206
1559320160049,360,200,true,1608,116,10,10,360,0,195
1559320160064,362,200,true,1608,116,10,10,361,0,184
1559320160072,361,200,true,1608,116,10,10,361,0,195
1559320160139,337,200,true,1614,116,10,10,337,0,209
1559320160237,272,200,true,1613,116,10,10,272,0,150
1559320160312,443,200,true,1608,116,10,10,443,0,138
1559320160316,457,200,true,1614,116,10,10,457,0,153
1559320160327,451,200,true,1608,116,10,10,451,0,149
1559320160374,412,200,true,1592,116,10,10,412,0,125
1559320160403,393,200,true,1614,116,10,10,393,0,121
1559320160409,391,200,true,1592,116,10,10,391,0,122
1559320160426,450,200,true,1592,116,10,10,449,0,121
1559320160434,506,200,true,1614,116,10,10,506,0,285
1559320160477,499,200,true,1592,116,10,10,499,0,305
1559320160510,472,200,true,1592,116,10,10,472,0,279
1559320160755,317,200,true,1592,116,10,10,317,0,189
1559320160773,327,200,true,1608,116,10,10,326,0,183
1559320160787,319,200,true,1597,116,10,10,319,0,186
1559320160779,335,200,true,1592,116,10,10,335,0,196
1559320160801,348,200,true,1592,116,10,10,348,0,196
1559320160796,360,200,true,1592,116,10,10,359,0,199
1559320160876,293,200,true,1613,116,10,10,291,0,145
1559320160940,256,200,true,1592,116,10,10,254,0,128
1559320160976,282,200,true,1592,116,10,10,282,0,150
1559320160983,281,200,true,1597,116,10,10,281,0,143
1559320161073,280,200,true,1597,116,10,10,280,0,125
1559320161100,259,200,true,1592,116,10,10,259,0,117
1559320161107,266,200,true,1592,116,10,10,265,0,127
1559320161114,262,200,true,1614,116,10,10,262,0,127
1559320161156,299,200,true,1592,116,10,10,299,0,159
1559320161170,287,200,true,1608,116,10,10,287,0,146
1559320161149,317,200,true,1592,116,10,10,316,0,162
1559320161196,296,200,true,1608,116,10,10,296,0,152
1559320161259,285,200,true,1608,116,10,10,284,0,146
1559320161265,291,200,true,1592,116,10,10,290,0,151
1559320161354,290,200,true,1597,116,10,10,290,0,148
1559320161360,289,200,true,1597,116,10,10,289,0,142
1559320161377,279,200,true,1597,116,10,10,279,0,140
1559320161374,282,200,true,1592,116,10,10,282,0,134
1559320161458,261,200,true,1608,116,10,10,261,0,128
1559320161456,265,200,true,1608,116,10,10,265,0,121
1559320161466,264,200,true,1613,116,10,10,261,0,126
1559320161493,258,200,true,1614,116,10,10,258,0,136
1559320161544,274,200,true,1613,116,10,10,274,0,139
1559320161556,264,200,true,1592,116,10,10,264,0,133
1559320161649,253,200,true,1614,116,10,10,253,0,125
1559320161645,265,200,true,1614,116,10,10,265,0,132
1559320161657,279,200,true,1592,116,10,10,278,0,139
1559320161657,281,200,true,1592,116,10,10,281,0,140
1559320161720,249,200,true,1614,116,10,10,249,0,120
1559320161721,255,200,true,1592,116,10,10,255,0,125
1559320161730,271,200,true,1592,116,10,10,271,0,131
1559320161752,253,200,true,1597,116,10,10,253,0,121
1559320161818,272,200,true,1592,116,10,10,270,0,140
1559320161820,279,200,true,1597,116,10,10,279,0,142
1559320161903,253,200,true,1608,116,10,10,251,0,123
1559320161910,260,200,true,1592,116,10,10,258,0,126
1559320161936,253,200,true,1592,116,10,10,252,0,135
1559320161938,263,200,true,1614,116,10,10,262,0,137
1559320161970,277,200,true,1608,116,10,10,277,0,137
1559320161976,279,200,true,1592,116,10,10,279,0,149
1559320162002,270,200,true,1592,116,10,10,269,0,127
1559320162005,270,200,true,1592,116,10,10,269,0,125
1559320162090,267,200,true,1592,116,10,10,266,0,125
1559320162100,261,200,true,1592,116,10,10,261,0,138
1559320162156,284,200,true,1592,116,10,10,282,0,123
1559320162170,273,200,true,1592,116,10,10,273,0,131
1559320162201,249,200,true,1608,116,10,10,248,0,118
1559320162190,269,200,true,1592,116,10,10,268,0,130
1559320162247,399,200,true,1613,116,10,10,399,0,143
1559320162256,434,200,true,1614,116,10,10,434,0,140
1559320162272,420,200,true,1592,116,10,10,420,0,139
1559320162276,424,200,true,1608,116,10,10,424,0,149
1559320162357,502,200,true,1592,116,10,10,502,0,278
1559320162362,509,200,true,1614,116,10,10,509,0,281
1559320162440,448,200,true,1597,116,10,10,448,0,266
1559320162443,464,200,true,1608,116,10,10,464,0,265
1559320162450,474,200,true,1608,116,10,10,474,0,258
1559320162460,466,200,true,1608,116,10,10,466,0,257
1559320162646,354,200,true,1614,116,10,10,352,0,219
1559320162691,334,200,true,1592,116,10,10,334,0,180
1559320162692,335,200,true,1608,116,10,10,335,0,184
1559320162701,335,200,true,1592,116,10,10,335,0,184
1559320162860,265,200,true,1597,116,10,10,265,0,134
1559320162872,281,200,true,1592,116,10,10,280,0,150
1559320162888,299,200,true,1608,116,10,10,299,0,151
1559320162925,293,200,true,1608,116,10,10,292,0,152
1559320162926,301,200,true,1614,116,10,10,301,0,155
1559320162908,320,200,true,1592,116,10,10,319,0,163
1559320163000,267,200,true,1592,116,10,10,267,0,130
1559320163025,282,200,true,1592,116,10,10,282,0,150
1559320163037,274,200,true,1608,116,10,10,274,0,140
1559320163028,291,200,true,1608,116,10,10,291,0,156
1559320163126,274,200,true,1592,116,10,10,274,0,132
1559320163153,265,200,true,1608,116,10,10,264,0,124
1559320163187,296,200,true,1592,116,10,10,296,0,144
1559320163218,278,200,true,1592,116,10,10,278,0,142
1559320163227,271,200,true,1592,116,10,10,271,0,134
1559320163228,310,200,true,1608,116,10,10,310,0,145
1559320163268,290,200,true,1597,116,10,10,290,0,145
1559320163307,296,200,true,1592,116,10,10,295,0,159
1559320163311,316,200,true,1614,116,10,10,316,0,161
